;ipen;determination;multiplication;hivernage;protectionHiv1;protectionHiv2;taxonFamille1;taxonControle;taxonBiblio;periodeDeSemis;idTaxon;secteur;matched_name;fuzzy_match_score;Inventaire FRIBG;is_approximate_match;is_synonym;nomenclature_code;score;search_string;taxon.flags;taxon.is_suppressed;taxon.is_suppressed_from_synth;taxon.name;taxon.ott_id;taxon.rank;taxon.source;taxon.synonyms;taxon.tax_sources;taxon.unique_name;_merge;ott_id;organism_otol_kingdom;organism_otol_phylum;organism_otol_class;organism_otol_order;organism_otol_family;organism_otol_genus;organism_otol_species;organism_otol_unique_name;organism_otol_kingdom_ott_id_ott_id;organism_otol_phylum_ott_id;organism_otol_class_ott_id;organism_otol_order_ott_id;organism_otol_family_ott_id;organism_otol_genus_ott_id;organism_otol_species_ott_id;flags;rank;names_pipe_separated;wikidataId;wd_taxa_qid
;XX 0 MJB 19--54230;;Semis;;;;Malvaceae;;;05 g;Abelmoschus esculentus (L.) Moench;Serre 5;Abelmoschus esculentus;90;abelmoschus esculentus;False;False;ICN;1;abelmoschus esculentus;[];False;False;Abelmoschus esculentus;514975;species;ott3.3draft1;['Abelmoschus bammia', 'Abelmoschus esculentus praecox', 'Abelmoschus esculentus textilis', 'Abelmoschus officinalis', 'Abelmoschus praecox', 'Abelmoschus tuberculatus', 'Hibiscus bammia', 'Hibiscus esculentus', 'Hibiscus ficifolius', 'Hibiscus longifolius', 'Hibiscus praecox'];['ncbi:455045', 'gbif:3152707', 'irmng:10908198'];Abelmoschus esculentus;both;514975;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abelmoschus;;Abelmoschus esculentus;5268475;916750;99252;229284;279960;590123;;[];species;Abelmoschus esculentus;http://www.wikidata.org/entity/Q80531;Q80531
;XX 0 FRIBG 20100010;;;;;;Malvaceae;;;05 g;Abroma augustum (L.) L. f.;Serre 5;Abroma augustum;90;abroma augustum;False;False;ICN;1;abroma augustum;[];False;False;Abroma augustum;385534;species;ott3.3draft1;['Abroma angusta', 'Ambroma augusta', 'Ambroma augustum', 'Theobroma augustum'];['ncbi:82454'];Abroma augustum (species in kingdom Archaeplastida);both;385534;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abroma;;Abroma augustum (species in kingdom Archaeplastida);5268475;916750;99252;229284;279960;330790;;[];species;;;
;XX 0 FRIBG 20050254;;;;;;Malvaceae;;;05 g;Abutilon grandifolium (Willd.) Sweet;Serre 5;Abutilon grandifolium;90;abutilon grandifolium;False;False;ICN;1;abutilon grandifolium;[];False;False;Abutilon grandifolium;464177;species;ott3.3draft1;['Abutilon kauaiense', 'Abutilon molle', 'Abutilon sordidium', 'Sida grandifolia', 'Sida mollis'];['ncbi:424428', 'gbif:3152633', 'irmng:10198174'];Abutilon grandifolium;both;464177;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abutilon;;Abutilon grandifolium;5268475;916750;99252;229284;279960;854498;;[];species;;;
;XX 0 FRIBG 20060044;;;;;;Asteraceae;;;;Acmella oleracea (L.) R.K. Jansen;Serre 5;Acmella oleracea;90;acmella oleracea;False;False;ICN;1;acmella oleracea;[];False;False;Acmella oleracea;5794458;species;ott3.3draft1;['Acmella calva oleracea', 'Acmella occidentalis', 'Anacyclus pyrethraria', 'Anthemis occidentalis', 'Bidens acmelloides', 'Bidens fervida', 'Bidens fixa', 'Bidens fusca', 'Bidens oleracea', 'Cotula pyrethraria', 'Isocarpha pyrethraria', 'Pyrethraria dichotoma', 'Pyrethrum spilanthus', 'Spilanthes acmella oleracea', 'Spilanthes calva oleracea', 'Spilanthes fusca', 'Spilanthes oleracea', 'Spilanthes oleracea fusca', 'Spilanthes oleracea oleracea', 'Spilanthes radicans'];['ncbi:469459', 'gbif:5386764', 'irmng:10212993'];Acmella oleracea;both;5794458;Archaeplastida;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Acmella;;Acmella oleracea;5268475;916750;99252;1042120;46248;190003;;[];species;Acmella oleracea;http://www.wikidata.org/entity/Q2097498;Q2097498
;XX 0 FRIBG 20130132;;;;;;Malvaceae;;;;Adansonia digitata L.;Serre 5;Adansonia digitata;95;adansonia digitata;False;False;ICN;1;adansonia digitata;[];False;False;Adansonia digitata;659136;species;ott3.3draft1;['Adansonia bahobab', 'Adansonia baobab', 'Adansonia digitata congolensis', 'Adansonia somalensis', 'Adansonia sphaerocarpa', 'Adansonia sulcata', 'Baobabus digitata'];['ncbi:69109', 'gbif:5406695', 'irmng:11076440'];Adansonia digitata;both;659136;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Adansonia;;Adansonia digitata;5268475;916750;99252;229284;279960;659137;;[];species;Adansonia digitata;http://www.wikidata.org/entity/Q158742;Q158742
;GH 0 BONN 4971;;;;;;Zingiberaceae;;;;Aframomum melegueta K. Schum.;Serre 5;Aframomum melegueta;95;aframomum melegueta;False;False;ICN;1;aframomum melegueta;[];False;False;Aframomum melegueta;268114;species;ott3.3draft1;['Aframomum grana-paradisi', 'Aframomum meleguetella', 'Alexis grandiflora publ', 'Alpinia grana-paradisi', 'Amomum melegueta', 'Amomum melegueta violacea', 'Cardamomum grana-paradisi', 'Cardamomum grandiflorum', 'Torymenes officinalis publ'];['ncbi:637930', 'gbif:2758930', 'irmng:11427943'];Aframomum melegueta;both;268114;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Aframomum;;Aframomum melegueta;5268475;916750;99252;627015;207467;334330;;[];species;Aframomum melegueta;http://www.wikidata.org/entity/Q1503476;Q1503476
;XX 0 FRIBG 20080207;;;;;;Zingiberaceae;;;05 g;Alpinia galanga (L.) Willd.;Serre 5;Alpinia galanga;90;alpinia galanga;False;False;ICN;1;alpinia galanga;[];False;False;Alpinia galanga;1063872;species;ott3.3draft1;['Alpinia alba', 'Alpinia bifida', 'Alpinia carnea', 'Alpinia galanga pyramidata', 'Alpinia pyramidata', 'Alpinia rheedei', 'Alpinia viridiflora', 'Amomum galanga', 'Amomum medium', 'Galanga major oppr', 'Galanga officinalis', 'Hellenia alba', 'Heritiera alba', 'Languas galanga', 'Languas pyramidata', 'Languas vulgare', 'Maranta galanga', 'Zingiber galanga', 'Zingiber medium', 'Zingiber sylvestre'];['ncbi:94327', 'gbif:5302225', 'irmng:11003936'];Alpinia galanga;both;1063872;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Alpinia;;Alpinia galanga;5268475;916750;99252;627015;207467;1063876;;[];species;Alpinia galanga;http://www.wikidata.org/entity/Q402971;Q402971
;XX 0 FRIBG 20040092;;Semis;;;;Zingiberaceae;;;05 g;Alpinia officinarum Hance;Serre 5;Alpinia officinarum;95;alpinia officinarum;False;False;ICN;1;alpinia officinarum;[];False;False;Alpinia officinarum;477388;species;ott3.3draft1;['Languas officinarum'];['ncbi:199623', 'gbif:5302199', 'irmng:10892054'];Alpinia officinarum;both;477388;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Alpinia;;Alpinia officinarum;5268475;916750;99252;627015;207467;1063876;;[];species;Alpinia officinarum;http://www.wikidata.org/entity/Q1281083;Q1281083
;XX 0 FRIBG 20020233;;;Serre 1;;;Araceae;;;;Amorphophallus konjac K. Koch;Serre 5;Amorphophallus konjac;95;amorphophallus konjac;False;False;ICN;1;amorphophallus konjac;[];False;False;Amorphophallus konjac;1049804;species;ott3.3draft1;['Amorphophallus mairei', 'Amorphophallus nanus', 'Amorphophallus palmiformis', 'Amorphophallus palmiformis publ', 'Amorphophallus rivierei', 'Amorphophallus rivierei konjac', 'Amorphophallus rivieri', 'Amorphophallus rivieri konjac', 'Brachyspatha konjac', 'Conophallus konjak', 'Conophallus konniaku', 'Hydrosme rivierei', 'Hydrosme rivieri', 'Proteinophallus rivierei', 'Proteinophallus rivieri', 'Tapeinophallus rivierei', 'Tapeinophallus rivieri'];['ncbi:78372', 'gbif:2871520', 'irmng:11325430', 'irmng:10254181'];Amorphophallus konjac;both;1049804;Archaeplastida;Streptophyta;Magnoliopsida;Alismatales;Araceae;Amorphophallus;;Amorphophallus konjac;5268475;916750;99252;399481;481972;959492;;[];species;Amorphophallus konjac;http://www.wikidata.org/entity/Q674443;Q674443
;XX 0 FRIBG 10000285;;;;;;Bromeliaceae;;;;Ananas comosus Merill. var. sativus Schult.;Serre 5;Ananas comosus;90;ananas comosus;False;False;ICN;1;ananas comosus;[];False;False;Ananas comosus;627039;species;ott3.3draft1;['Ananas ananas', 'Ananas argentata', 'Ananas aurata', 'Ananas bracteatus paraguayensis', 'Ananas coccineus', 'Ananas comosus var. comosus', 'Ananas glaber', 'Ananas lucidus', 'Ananas maxima', 'Ananas mordilona', 'Ananas ovatus', 'Ananas penangensis', 'Ananas proliferus', 'Ananas pyramidalis', 'Ananas sativus lucidus', 'Ananas serotinus', 'Ananas viridis', 'Ananassa mordilona', 'Bromelia ananas', 'Bromelia ananas inermis', 'Bromelia communis', 'Bromelia comosa', 'Bromelia edulis', 'Bromelia glabra', 'Bromelia inermis', 'Bromelia rubra', 'Bromelia subspinosa', 'Bromelia viridis'];['ncbi:4615', 'gbif:5288776', 'gbif:5288819', 'irmng:10207532'];Ananas comosus;both;627039;Archaeplastida;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;;Ananas comosus;5268475;916750;99252;921871;627035;627043;;[];species;Ananas comosus;http://www.wikidata.org/entity/Q1493;Q1493
