ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur
,,,,,,Caprifoliaceae,,,,Abelia mosanensis Nakai,Système 1
XX 0 FRIBG 20080454,,,,,,Caprifoliaceae,,,,Abelia x grandiflora (André) Rehder,Place du bouleau
XX 0 FRIBG 20080453,,,,,,Oleaceae,,,,Abeliophyllum distichum Nakai,Place du bouleau
XX 0 MJB 19--54230,,Semis,,,,Malvaceae,,,05 g,Abelmoschus esculentus (L.) Moench,Serre 5
XX 0 FRIBG 10000081,,,Couches,,,Malvaceae,,,11 s,Abelmoschus manihot (L.) Medik.,Système 3
GT 0 M 2004/2358,,,,,,Malvaceae,,,11 s,Abelmoschus moschatus Medik.,Mur
XX 0 FRIBG 10000463,,,,,,Pinaceae,,,,Abies alba Mill.,Arboretum
XX 0 FRIBG 20150333,,,,,,Pinaceae,,,,Abies koreana E.H. Wilson,Système 4
XX 0 FRIBG 10000472,,,,,,Pinaceae,,,,Abies nordmanniana Spach.,Arboretum
XX 0 FRIBG 19740001,,,,,,Pinaceae,,,,Abies numidica de Lannoy,Microscopie
XX 0 FRIBG 10000473,,,,,,Pinaceae,,,,Abies pinsapo Boiss.,Arboretum
XX 0 FRIBG 19630002,,,,,,Pinaceae,,,,Abies procera Rehd.,Microscopie
XX 0 FRIBG 20100010,,,,,,Malvaceae,,,05 g,Abroma augustum (L.) L. f.,Serre 5
XX 0 FRIBG 20120338,,,,,,Bromeliaceae,,,,Abromeitiella sp.,Serre 1 Am.
XX 0 FRIBG 20050342,,,,,,Fabaceae,,,05 g,Abrus precatorius L.,Multiplication
SC 0 FRIBG 20190119,,,,,,Fabaceae,,,,Abrus precatorius L.,Multiplication
XX 0 FRIBG 20050254,,,,,,Malvaceae,,,05 g,Abutilon grandifolium (Willd.) Sweet,Serre 5
CH 0 FRIBG 20090460,,,,,,Malvaceae,,,16 s,Abutilon theophrasti Medik.,Système 3
ZA 0 FRIBG 20030001,,,,,,Fabaceae,,,,Acacia karroo Hayne,Serre 1 S-Afr.
XX 0 FRIBG 19660009,,,,,,Fabaceae,,,,Acacia senegal Willd.,Serre 1 N-Afr.
XX 0 FRIBG 10000477,,,,,,Rosaceae,,,,Acaena buchananii Hook. f.,Système 2
AR 0 FRIBG 20180269,,,,,,Rosaceae,,,,Acaena cespitosa Gillies,Rocaille 3
XX 0 FRIBG 20030639,,,,,,Rosaceae,,,,Acaena microphylla Hook f.,Rocaille 3
XX 0 FRIBG 10000478,,,,,,Rosaceae,,,,Acaena ovina A.Cunn.,Système 2
XX 0 FRIBG 10000479,,,,,,Rosaceae,,,,Acaena pinnatifida Ruiz et Pav.,Rocaille 1
XX 0 FRIBG 10003127,,Bouture,,,,Euphorbiaceae,,,,Acalypha chamaedrifolia (Lam.) Müll. Arg.,Serre 4
XX 0 FRIBG 10003219,,Bouture,,,,Euphorbiaceae,,,,Acalypha hispida Burm. f.,Serre 4
XX 0 FRIBG 10003128,,Bouture,,,,Euphorbiaceae,,,,Acalypha wilkesiana Müll. Arg. 'Godseffiana',Serre 4
XX 0 FRIBG 10003218,,Bouture,,,,Euphorbiaceae,,,,Acalypha wilkesiana Müll. Arg. 'Musaica',Serre 4
XX 0 FRIBG 10003129,,Bouture,,,,Euphorbiaceae,,,,Acalypha wilkesiana Müll. Arg. 'Obovata',Serre 4
XX 0 FRIBG 20150289,,,,,,Plumbaginaceae,,,,Acantholimon armenum Boiss.,Rocaille 3
XX 0 FRIBG 20150289,,,,,,Plumbaginaceae,,,,Acantholimon armenum Boiss.,Bacs tuf
XX 0 FRIBG 20010071,,,,,,Plumbaginaceae,,,,Acantholimon glumaceum (Jaub. et Spach) Boiss.,Place du tilleul
XX 0 FRIBG 20010071,,,,,,Plumbaginaceae,,,,Acantholimon glumaceum (Jaub. et Spach) Boiss.,Bacs tuf
XX 0 FRIBG 20010135,,,,,,Plumbaginaceae,,,,Acantholimon olivieri (Jaub et Spach) Boiss.,Rocaille 1
XX 0 FRIBG 20100350,,,,,,Plumbaginaceae,,,,Acantholimon ulicinum (Schult.) Boiss.,Rocaille 3
XX 0 FRIBG 20100350,,,,,,Plumbaginaceae,,,,Acantholimon ulicinum (Schult.) Boiss.,Place du tilleul
XX 0 FRIBG 20100350,,,,,,Plumbaginaceae,,,,Acantholimon ulicinum (Schult.) Boiss.,Bacs tuf
TR 0 FRIBG 20160377,,,,,,Plumbaginaceae,,,,Acantholimon venustum Boiss.,Rocaille 3
XX 0 FRIBG 10000482,,,,,,Acanthaceae,,,,Acanthus hungaricus (Borbas) Baen.,Système 1
XX 0 FRIBG 10003130,,Bouture,,,,Acanthaceae,,,,Acanthus montanus (Nees) T. Anderson,Serre 4
GR 0 FRIBG 20160352,,,,,,Acanthaceae,,,,Acanthus spinosus L.,Place du tilleul
XX 0 FRIBG 19980531,,,,,,Sapindaceae,,,,Acer buergerianum Miq.,Fougères
CH 0 FRIBG 19970472,,,,,,Sapindaceae,,,,Acer campestre L.,Fougères
XX 0 FRIBG 20020148,,,,,,Sapindaceae,,,,Acer capillipes Maxim.,Fougères
XX 0 FRIBG 20050546,,,,,,Sapindaceae,,,,Acer cappadocicum Gled.,Fougères
XX 0 FRIBG 19990270,,,,,,Sapindaceae,,,,Acer carpinifolium Siebold et Zucc.,Fougères
XX 0 FRIBG 20140299,,,,,,Sapindaceae,,,,Acer cissifolium (Siebold et Zucc.) K. Koch,Système 3
XX 0 FRIBG 20090322,Sciboz J.,,,,,Sapindaceae,,,,Acer davidii Franch. subsp. davidii,Fougères
XX 0 FRIBG 19990358,,,,,,Sapindaceae,,,,Acer griseum (Franch.) Pax,Fougères
XX 0 FRIBG 19960518,,,,,,Sapindaceae,,,,Acer hyrcanum Fisch. et C.A. Mey.,Fougères
XX 0 FRIBG 20070294,,,,,,Sapindaceae,,,,Acer japonicum Thunb.,Fougères
XX 0 FRIBG 19960517,,,,,,Sapindaceae,,,,Acer mono Maxim.,Fougères
FR 0 FRIBG 19990367,,,,,,Sapindaceae,,,,Acer monspessulanum L.,Fougères
XX 0 FRIBG 20200093,Sciboz J.,,,,,Sapindaceae,,,,Acer negundo L. subsp. negundo,Fougères
CH 0 FRIBG 19770003,,,,,,Sapindaceae,,,,Acer opalus Mill.,Fougères
XX 0 FRIBG 19960516,,,,,,Sapindaceae,,,,Acer palmatum Murray,Fougères
XX 0 FRIBG 10000484,,,,,,Sapindaceae,,,,Acer palmatum Murray 'Atropurpureum',Fougères
XX 0 FRIBG 10000485,,,,,,Sapindaceae,,,,Acer palmatum Thunb. 'Dissectum',Fougères
CH 0 FRIBG 20010151,,,,,,Sapindaceae,,,,Acer platanoides L.,Fougères
XX 0 FRIBG 10003229,,,,,,Sapindaceae,,,,Acer pseudoplatanus L.,Fougères
XX 0 FRIBG 20020001,,,,,,Sapindaceae,,,,Acer rufinerve Siebold et Zucc.,Fougères
,,,,,,Sapindaceae,,,,Acer saccharinum L.,Fougères
XX 0 FRIBG 20000468,,,,,,Sapindaceae,,,,Acer saccharum Marshall,Fougères
XX 0 FRIBG 10000492,,,,,,Sapindaceae,,,,Acer saccharum Marshall,Pourtour engazonné du système
XX 0 FRIBG 20020522,,,,,,Sapindaceae,,,,Acer sempervirens L.,Fougères
XX 0 FRIBG 19990212,,,,,,Sapindaceae,,,,Acer tataricum L. subsp. tataricum,Fougères
XX 0 FRIBG 19900988,,,,,,Sapindaceae,,,,Acer tataricum subsp. ginnala (Maxim.) Wesm.,Fougères
XX 0 FRIBG 20030757,,,,,,Asteraceae,,,,Achillea clypeolata Sibth. et Sm.,Système 1
FR 0 FRIBG 20170353,,,,,,Asteraceae,,,,Achillea collina Rchb.,Alp. calcaire 1
FR 0 FRIBG 20170353,,,,,,Asteraceae,,,,Achillea collina Rchb.,Steppe val.
XX 0 FRIBG 10000496,,,,,,Asteraceae,,,,Achillea filipendulina Lam.,Système 1
CH 0 FRIBG 20120231,,,,,,Asteraceae,,,,Achillea macrophylla L.,Alp. calcaire 2
CH 0 FRIBG 20140451,,,,,,Asteraceae,,,,Achillea macrophylla L.,Alp. calcaire 1
XX 0 FRIBG 10000499,Sciboz J.,,,,,Asteraceae,,,,Achillea millefolium aggr.,Système 1
XX 0 FRIBG 10000499,Sciboz J.,,,,,Asteraceae,,,,Achillea millefolium aggr.,Médicinal
FR 0 FRIBG 20040133,,,,,,Asteraceae,,,,Achillea nobilis L.,Steppe val.
XX 0 FRIBG 10000501,,,,,,Asteraceae,,,,Achillea ptarmica L.,Système 1
XX 0 FRIBG 20060554,JB Genève,,,,,Asteraceae,,,,Achillea serbica Nyman,Rocaille 3
HU 0 FRIBG 20050239,,,,,,Asteraceae,,,,Achillea setacea Waldst. et Kit.,Steppe val.
IT 0 FRIBG 20010512,"Clément Benoit, 2002",,,,,Asteraceae,,,,Achillea tomentosa L.,Steppe val.
XX 0 RAMB 208001,,,,,,Asteraceae,,,,Achillea umbellata Sibth. et Sm.,Rocaille 1
XX 0 FRIBG 20140108,,Semis,,,,Gesneriaceae,,,,Achimenes erecta (Lam.) H.P. Fuchs,Serre 4
CH 0 FRIBG 20020468,,,,,,Poaceae,,,,Achnatherum calamagrostis (L.) P. Beauv.,Alp. calcaire 6
XX 0 FRIBG 20160527,,,,,,Orchidaceae,,,,Acianthera sonderiana (Rchb.f.) Pridgeon & M.W.Chase,Serre 2
CH 0 FRIBG 20160497,,,,,,Lamiaceae,,,,Acinos alpinus (L.) Moench,Alp. calcaire 5
CH 0 FRIBG 20080119,Sciboz J.,,,,,Lamiaceae,,,13 s,Acinos arvensis (Lam.) Dandy,Système 1
GR 0 M 1977/0274,,,,,,Amaryllidaceae,,,,Acis rosea (F. Martin bis) Sweet,Géophytes
XX 0 BERN 1985/209 G S,,,,,,Amaryllidaceae,,,,"Acis valentina (Pau) Lledo, A.P Davis et M.B. Crespo",Géophytes
XX 0 FRIBG 20060044,,,,,,Asteraceae,,,11 s,Acmella oleracea (L.) R.K. Jansen,Médicinal
XX 0 FRIBG 20060044,,,,,,Asteraceae,,,,Acmella oleracea (L.) R.K. Jansen,Serre 5
CH 0 FRIBG 20020675,,,,,,Ranunculaceae,,,,Aconitum altissimum Mill.,Pl. protégées
HU 0 FRIBG 20100314,,,,,,Ranunculaceae,,,,Aconitum anthora L.,Alp. calcaire 4
XX 0 FRIBG 19910407,"Bollinger Susanne, 2002",,,,,Ranunculaceae,,,,Aconitum carmichaelii Debeaux,Système 3
AT 0 FRIBG 20030190,,,,,,Ranunculaceae,,,,Aconitum compactum (Rchb.) Gayer,Alp. calcaire 5
XX 0 FRIBG 10000503,,,,,,Ranunculaceae,,,,Aconitum forrestii Stapf,Système 3
CH 0 FRIBG 19910913,"Pater Schmid Alois, 1993",,,,,Ranunculaceae,,,,Aconitum lamarckii Rchb.,Alp. calcaire 3
