Inventaire FRIBG
Abelmoschus moschatus
Acantholimon venustum
Acis rosea
Aconitum vulparia
Aframomum melegueta
Allium carolinianum
Allium insubricum
Ampelopsis glandulosa
Anagallis tenella
Androsace lactea
Androsace mucronifolia
Arabis hirsuta
Arenaria blepharophylla
Armeria trojana
Aubrieta deltoidea
Betula humilis
Brimeura fastigiata
Brocchinia reducta
Campanula troegerae
Carex tomentosa
Cephalanthus occidentalis
Cephalaria gigantea
Chiastophyllum oppositifolium
Chrysopogon gryllus
Cicerbita alpina
Cistus monspeliensis
Clinopodium thymifolium
Colchicum cilicicum
Coriaria myrtifolia
Crocus biflorus
Cyclamen cilicium
Cyclamen cilicium
Cyclamen coum
Cyclamen creticum
Daphne kosaninii
Delphinium grandiflorum
Dianthus arpadianus
Dianthus subacaulis
Dianthus viscidus
Dianthus webianus
Dictyolimon macrorrhabdos
Dictyolimon macrorrhabdos
Digitalis obscura
Disocactus eichlamii
Draba rigida
Drimia undata
Drosera intermedia
Drosera rotundifolia
Echium candicans
Echium russicum
Echium wildpretii
Echium wildpretii
Echium wildpretii
Epiphyllum rubrocoronatum
Eremogone hookeri
Erica scoparia
Erysimum cheiranthoides
Erysimum kotschyanum
Euphorbia amygdaloides
Euphorbia flavicoma
Euphorbia lathyris
Euphorbia myrsinites
Euphorbia myrsinites
Euphorbia nicaeensis
Euphorbia semiperfoliata
Ferraria crispa
Ferula communis
Fritillaria acmopetala
Fritillaria camschatcensis
Fritillaria kotschyana
Geranium aristatum
Gynostemma pentaphyllum
Gypsophila fastigiata
Gypsophila imbricata
Helichrysum basalticum
Hypericum coris
Iris sintenisii
Iris unguicularis
Lavandula lanata
Leontopodium himalayanum
Leontopodium leontopodioides
Lewisia pygmaea
Lilium chalcedonicum
Lilium chalcedonicum
Lilium pyrenaicum
Lithops pseudotruncatella
Malus sieversii
Melia azedarach
Mentha suaveolens
Milium effusum
Minuartia capillacea
Moltkia petraea
Monarda punctata
Monolena primuliflora
Muscari neglectum
Myosotis rehsteineri
Myosotis rehsteineri
Myosurus minimus
Narcissus papyraceus
Narcissus serotinus
Nepenthes alata
Nesocodon mauritianus
Nuphar pumila
Nuphar pumila
Ononis spinosa
Ornithogalum regale
Ornithogalum viridiflorum
Oxalis pes-caprae
Pelargonium panduriforme
Peucedanum oreoselinum
Platycarya longipes
Potentilla norvegica
Potentilla rupestris
Potentilla uniflora
Primula auricula
Primula palinuri
Pulsatilla montana
Saintpaulia grotei
Salsola kali
Salvia aethiopis
Salvia austriaca
Salvia hierosolymitana
Salvia nutans
Salvia przewalskii
Salvia subpalmatinervis
Salvia subpalmatinervis
Salvia verbenaca
Sansevieria stuckyi
Sanvitalia procumbens
Saponaria caespitosa
Saponaria ocymoides
Saxifraga pedemontana
Saxifraga pedemontana
Schismatoglottis calyptrata
Scilla hyacinthoides
Scutellaria coccinea
Sempervivum furseorum
Sempervivum grandiflorum
Sempervivum grandiflorum
Sempervivum pumilum
Silene argaea
Strelitzia reginae
Thlaspi zaffranii
Tolmiea menziesii
Townsendia hookeri
Trapa natans
Tritonia flabellifolia
Tulipa armena
Tulipa saxatilis
Tulipa saxatilis
Turritis glabra
Ulmus parviflora
Ulmus pumila
Urena lobata
Ursinia alpina
Verbascum phoeniceum
Viola tricolor
Wollemia nobilis
Xanthosoma pubescens
Zizania aquatica
Campanula aucheri
Crocus chrysanthus
Crocus hadriaticus
Crocus nivalis
Crocus serotinus
Ipheion uniflorum
Iris lusitanica
Muscari armeniacum
Ornithogalum viridiflorum
Pelargonium klinghardtense
Physoplexis comosa
Poliothyrsis sinensis
Romulea bulbocodium
Saponaria pumilio
Tristagma bivalve
Abutilon theophrasti
Acacia karroo
Acanthus spinosus
Acer campestre
Acer monspessulanum
Acer opalus
Acer platanoides
Acer pseudoplatanus
Achillea collina
Achillea collina
Achillea macrophylla
Achillea macrophylla
Achillea nobilis
Achillea setacea
Achillea tomentosa
Achnatherum calamagrostis
Acinos alpinus
Acinos arvensis
Aconitum altissimum
Aconitum anthora
Aconitum compactum
Aconitum lamarckii
Actaea spicata
Adenostyles alliariae
Adenostyles glabra
Adiantum sp.
Adoxa moschatellina
Adoxa moschatellina
Aeonium arboreum
Aeonium canariense
Aeonium simsii
Aethionema saxatile
Aethionema thomasianum
Agrimonia eupatoria
Ajuga pyramidalis
Alchemilla alpina
Alchemilla conjuncta
Alchemilla plicatula
Allium angulosum
Allium carinatum
Allium carinatum
Allium cernuum
Allium lusitanicum
Allium lusitanicum
Allium lusitanicum
Allium nigrum
Allium oleraceum
Allium schoenoprasum
Allium sphaerocephalon
Allium sphaerocephalon
Allium sphaerocephalon
Allium sphaerocephalon
Allium sphaerocephalon
Allium tel-avivense
Allium victorialis
Allium victorialis
Alnus glutinosa
Alopecurus pratensis
Alyssoides utriculata
Alyssoides utriculata
Alyssum alyssoides
Alyssum alyssoides
Alyssum montanum
Ammi visnaga
Ammi visnaga
Ammophila arenaria
Ampelopsis aconitifolia
Andromeda polifolia
Androsace chamaejasme
Androsace lactea
Androsace villosa
Androsace vitaliana
Anemone baldensis
Anemone baldensis
Anemone canadensis
Anemone cylindrica
Anemone narcissiflora
Anemone narcissiflora
Anemone nemorosa
Anemone ranunculoides
Anemone virginiana
Angelica sylvestris
Angelica sylvestris
Anthericum liliago
Anthericum ramosum
Anthericum ramosum
Anthericum ramosum
Anthoxanthum alpinum
Anthoxanthum odoratum
Anthriscus sylvestris
Anthyllis montana
Anthyllis vulneraria
Anthyllis vulneraria
Anthyllis vulneraria
Anthyllis vulneraria
Anthyllis vulneraria
Antirrhinum majus
Antirrhinum pulverulentum
Aphyllanthes monspeliensis
Aposeris foetida
Aquilegia alpina
Aquilegia atrata
Aquilegia einseleana
Aquilegia nigricans
Aquilegia pyrenaica
Aquilegia viridiflora
Aquilegia vulgaris
Arabis alpina
Arabis alpina
Arabis bellidifolia
Arabis bellidifolia
Arabis ciliata
Arabis ciliata
Arabis hirsuta
Arabis hirsuta
Arabis subcoriacea
Arabis subcoriacea
Arabis turrita
Arctostaphylos uva-ursi
Arctostaphylos uva-ursi
Arenaria ciliata
Arenaria ciliata
Arenaria ciliata
Arenaria grandiflora
Arenaria multicaulis
Arenaria pungens
Armeria alpina
Armeria alpina
Armeria arenaria
Armeria arenaria
Armeria arenaria
Armeria majellensis
Armeria maritima
Aronia melanocarpa
Artemisia absinthium
Artemisia campestris
Artemisia campestris
Artemisia campestris
Artemisia thuscula
Artemisia umbelliformis
Artemisia umbelliformis
Artemisia umbelliformis
Artemisia umbelliformis
Artemisia umbelliformis
Artemisia vallesiaca
Artemisia vallesiaca
Artemisia vallesiaca
Artemisia vulgaris
Asarum europaeum
Asclepias incarnata
Asparagus acutifolius
Asparagus officinalis
Asparagus officinalis
Asperula arcadiensis
Asperula aristata
Asperula purpurea
Asphodelus macrocarpus
Asphodelus macrocarpus
Asphodelus ramosus
Asplenium adiantum-nigrum
Asplenium adiantum-nigrum
Asplenium adiantum-nigrum
Asplenium adiantum-nigrum
Asplenium fontanum
Asplenium fontanum
Asplenium onopteris
Asplenium onopteris
Asplenium ruta-muraria
Asplenium septentrionale
Asplenium trichomanes
Aster alpinus
Aster alpinus
Aster amellus
Aster amellus
Aster amellus
Aster linosyris
Aster linosyris
Aster linosyris
Astragalus alpinus
Astragalus depressus
Astragalus depressus
Astragalus frigidus
Astragalus leontinus
Astragalus leontinus
Astragalus monspessulanus
Astragalus onobrychis
Astragalus onobrychis
Astragalus penduliflorus
Astragalus sempervirens
Astragalus sempervirens
Astrantia major
Astrantia minor
Athamanta cretensis
Athamanta cretensis
Athyrium filix-femina
Aubrieta gracilis
Avena fatua
Baldellia ranunculoides
Baldellia ranunculoides
Baldellia ranunculoides
Berberis vulgaris
Berberis vulgaris
Bergenia crassifolia
Berteroa incana
Beta vulgaris
Biscutella laevigata
Biscutella laevigata
Bituminaria bituminosa
Blackstonia perfoliata
Blechnum spicant
Brachypodium pinnatum
Brachypodium sylvaticum
Brassia verrucosa
Brimeura amethystina
Briza media
Briza media
Bromelia pinguin
Bromus erectus
Bryonia dioica
Bunium bulbocastanum
Buphthalmum salicifolium
Buphthalmum salicifolium
Bupleurum falcatum
Bupleurum longifolium
Bupleurum longifolium
Bupleurum ranunculoides
Bupleurum ranunculoides
Bupleurum stellatum
Calamintha menthifolia
Calepina irregularis
Callitriche palustris
Callitriche palustris
Calluna vulgaris
Camassia scilloides
Campanula autraniana
Campanula barbata
Campanula bononiensis
Campanula chamissonis
Campanula cochleariifolia
Campanula cochleariifolia
Campanula excisa
Campanula glomerata
Campanula isophylla
Campanula rhomboidalis
Campanula rotundifolia
Campanula rotundifolia
Campanula spicata
Campanula thyrsoides
Campanula thyrsoides
Campanula trachelium
Cardamine amara
Cardamine kitaibelii
Cardamine pentaphyllos
Cardamine pratensis
Carduus defloratus
Carex acutiformis
Carex alba
Carex atrata
Carex baldensis
Carex bicolor
Carex bohemica
Carex chordorrhiza
Carex davalliana
Carex davalliana
Carex digitata
Carex echinata
Carex fimbriata
Carex firma
Carex flacca
Carex halleriana
Carex halleriana
Carex halleriana
Carex heleonastes
Carex hirta
Carex hostiana
Carex humilis
Carex humilis
Carex lepidocarpa
Carex liparocarpos
Carex montana
Carex nigra
Carex ornithopoda
Carex pairae
Carex pendula
Carex pseudocyperus
Carex remota
Carex sempervirens
Carex sylvatica
Carlina acaulis
Carlina acaulis
Carlina vulgaris
Carpobrotus edulis
Carthamus carduncellus
Ceiba pentandra
Centaurea cyanus
Centaurea scabiosa
Centaurea scabiosa
Centaurea scabiosa
Centaurea sp.
Centaurea stoebe
Centaurea triumfettii
Centaurea triumfettii
Centaurea valesiaca
Centranthus ruber
Cephalanthera damasonium
Cephalaria alpina
Cephalaria alpina
Cerastium arvense
Cerastium arvense
Cerastium austroalpinum
Ceratonia siliqua
Cerinthe glabra
Ceterach officinarum
Ceterach officinarum
Chaerophyllum aureum
Chamaecytisus supinus
Chamaecytisus x
Chenopodium bonus-henricus
Chenopodium bonus-henricus
Chondrilla juncea
Cinnamomum camphora
Cirsium acaule
Cirsium canum
Cirsium eriophorum
Cirsium eriophorum
Cirsium helenioides
Cirsium oleraceum
Cirsium oleraceum
Cirsium palustre
Clematis alpina
Clinopodium vulgare
Cochlearia pyrenaica
Cochlearia pyrenaica
Colchicum alpinum
Colchicum autumnale
Colchicum autumnale
Colchicum autumnale
Colchicum montanum
Colchicum multiflorum
Colchicum neapolitanum
Colutea arborescens
Conium maculatum
Conium maculatum
Coreopsis tinctoria
Coris monspeliensis
Cornus sanguinea
Coronilla minima
Coronilla minima
Coronilla vaginalis
Cortusa matthioli
Corylus avellana
Cotinus coggygria
Cotoneaster integerrimus
Cotyledon orbiculata
Crataegus laevigata
Crepis biennis
Crepis bocconei
Crepis bocconei
Crepis pyrenaica
Crithmum maritimum
Crocus albiflorus
Crocus albiflorus
Crocus etruscus
Crocus etruscus
Crocus heuffelianus
Crocus hyemalis
Crocus malyi
Crocus vallicola
Crocus vernus
Cucubalus baccifer
Cupressus sempervirens
Cymbopogon winterianus
Cynosurus cristatus
Cypripedium calceolus
Cypripedium calceolus
Cystopteris fragilis
