is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Euphorbia resinifera,ICN,1.0,euphorbia resinifera,[],False,False,Euphorbia resinifera,877712,species,ott3.3draft1,"['Euphorbia resinifera chlarosoma', 'Euphorbia resinifera chlorosoma', 'Euphorbia resinifera typica', 'Tithymalus resiniferus']","['ncbi:457265', 'gbif:3068445', 'irmng:10464602']",Euphorbia resinifera
False,False,Echeveria elegans,ICN,1.0,echeveria elegans,[],False,False,Echeveria elegans,5503333,species,ott3.3draft1,"['Cotyledon elegans', 'Echeveria albicans', 'Echeveria elegans hernandonis', 'Echeveria elegans kesselringiana', 'Echeveria elegans tuxpanensis', 'Echeveria harmsii', 'Echeveria perelegans', 'Echeveria potosina', 'Oliveranthus elegans', 'Oliverella elegans']","['ncbi:1478275', 'gbif:7334545', 'gbif:8315197']",Echeveria elegans
False,False,Oscularia deltoides,ICN,1.0,oscularia deltoides,[],False,False,Oscularia deltoides,243493,species,ott3.3draft1,"['Lampranthus deltoides', 'Mesembryanthemum deltatum', 'Mesembryanthemum deltoides', 'Mesembryanthemum deltoides muricatum', 'Mesembryanthemum muricatum', 'Oscularia deltata', 'Oscularia deltoides muricata', 'Oscularia muricata']","['ncbi:188800', 'gbif:3707693']",Oscularia deltoides
False,False,Leonurus cardiaca,ICN,1.0,leonurus cardiaca,[],False,False,Leonurus cardiaca,285418,species,ott3.3draft1,"['Cardiaca crispa', 'Cardiaca glabra oppr', 'Cardiaca stachys', 'Cardiaca trilobata', 'Cardiaca vulgaris', 'Lamium cardiaca', 'Leonurus aconitifolius', 'Leonurus campestris', 'Leonurus cardiaca adscendens', 'Leonurus cardiaca capitatus', 'Leonurus cardiaca hirtella', 'Leonurus cardiaca intermedius', 'Leonurus cardiaca rotundifolia', 'Leonurus cardiaca villosus', 'Leonurus crispus', 'Leonurus discolor', 'Leonurus glabra oppr', 'Leonurus illyricus', 'Leonurus intermedius', 'Leonurus lacerus', 'Leonurus multifidus', 'Leonurus neglectus', 'Leonurus trilobatus', 'Stachys triloba']","['ncbi:587664', 'worms:425918', 'gbif:5341389', 'irmng:10204912']",Leonurus cardiaca
False,False,Allium ursinum,ICN,1.0,allium ursinum,[],False,False,Allium ursinum,748364,species,ott3.3draft1,"['Aglitheis ursina', 'Allium latifolium oppr', 'Allium longipetiolatum', 'Allium nemorale', 'Allium petiolatum', 'Allium ucrainicum', 'Allium ursinoides', 'Allium ursinum latifolium', 'Allium ursinum ucrainicum', 'Allium vincetoxicum', 'Cepa ursina', 'Geboscon ursinum', 'Hylogeton ursinum publ', 'Moly latifolium', 'Nectaroscordum ursinum', 'Ophioscorodon ursinum']","['ncbi:4684', 'gbif:2857601']",Allium ursinum
False,False,Lavandula angustifolia,ICN,1.0,lavandula angustifolia,[],False,False,Lavandula angustifolia,880708,species,ott3.3draft1,"['Lavandula delphinensis', 'Lavandula fragrans', 'Lavandula officinalis', 'Lavandula spica', 'Lavandula vera']","['ncbi:39329', 'gbif:2927305', 'irmng:10202449']",Lavandula angustifolia
False,True,Lavandula angustifolia,ICN,1.0,lavandula angustifolia,[],False,False,Lavandula latifolia,355951,species,ott3.3draft1,"['Lavandula angustifolia', 'Lavandula cladophora', 'Lavandula decipiens', 'Lavandula erigens', 'Lavandula guinandii', 'Lavandula guinardii', 'Lavandula hybrida', 'Lavandula inclinans', 'Lavandula interrupta', 'Lavandula latifolia erigens', 'Lavandula latifolia tomentosa', 'Lavandula latifolia vulgaris', 'Lavandula major oppr', 'Lavandula ovata', 'Lavandula spica', 'Lavandula spica latifolia', 'Lavandula spica ramosa', 'Lavandula spica vulgaris']","['ncbi:39331', 'gbif:2927304', 'irmng:11428374']",Lavandula latifolia
False,False,Salvia sclarea,ICN,1.0,salvia sclarea,['incertae_sedis'],False,False,Salvia sclarea,820648,species,ott3.3draft1,"['Aethiopis sclarea', 'Salvia altilabrosa', 'Salvia bracteata', 'Salvia calostachya', 'Salvia coarctata', 'Salvia haematodes', 'Salvia lucana', 'Salvia pamirica', 'Salvia sclarea calostachya', 'Salvia sclarea turkestaniana', 'Salvia sclarea turkestanica', 'Salvia simsiana', 'Salvia turkestanica', 'Sclarea vulgaris']","['ncbi:38869', 'gbif:2927000', 'irmng:10203982']",Salvia sclarea
False,False,Salvia officinalis,ICN,1.0,salvia officinalis,['incertae_sedis'],False,False,Salvia officinalis,820645,species,ott3.3draft1,"['Betonica brachyodonta', 'Salvia officinalis minor']","['ncbi:38868', 'gbif:2927004', 'irmng:10203980']",Salvia officinalis
False,False,Salvia argentea,ICN,1.0,salvia argentea,['incertae_sedis'],False,False,Salvia argentea,448585,species,ott3.3draft1,"['Salvia alpestris', 'Salvia argentea aurasiaca', 'Salvia argentea fontanesiana', 'Salvia argentea gussonei', 'Salvia argentea mesatlantica', 'Salvia argentea patula', 'Salvia argentea pomelii', 'Salvia atlantica', 'Salvia aurasiaca', 'Salvia foetida', 'Salvia patula', 'Salvia rhodopea', 'Salvia saccata', 'Salvia suaveolens', 'Salvia tmolea', 'Sclarea argentea']","['ncbi:49208', 'gbif:2927065', 'irmng:10457920']",Salvia argentea
False,False,Salvia scabra,ICN,1.0,salvia scabra,['incertae_sedis'],False,False,Salvia scabra,5800990,species,ott3.3draft1,['Salvia graciliflora'],"['ncbi:1520040', 'gbif:3888333']",Salvia scabra
False,False,Salvia candidissima,ICN,1.0,salvia candidissima,['incertae_sedis'],False,False,Salvia candidissima,582961,species,ott3.3draft1,[],"['ncbi:268896', 'gbif:8387050']",Salvia candidissima
False,True,Salvia candidissima,ICN,1.0,salvia candidissima,['incertae_sedis'],False,False,Salvia verbascifolia,108325,species,ott3.3draft1,"['Salvia atomara', 'Salvia candidissima', 'Salvia nivea', 'Salvia pseudoaethiopis', 'Salvia verbascifolia lancifolia', 'Sclarea candidissima']","['ncbi:392701', 'gbif:3884199']",Salvia verbascifolia
False,False,Salvia palaestina,ICN,1.0,salvia palaestina,['incertae_sedis'],False,False,Salvia palaestina,433250,species,ott3.3draft1,"['Salvia alliaria', 'Salvia lorentii', 'Salvia rassamii', 'Salvia sieberi', 'Salvia sinaica']","['ncbi:268920', 'gbif:3893308']",Salvia palaestina
False,False,Salvia interrupta,ICN,1.0,salvia interrupta,['incertae_sedis'],False,False,Salvia interrupta,5800978,species,ott3.3draft1,[],"['ncbi:1520029', 'gbif:7931336']",Salvia interrupta
False,False,Salvia przewalskii,ICN,1.0,salvia przewalskii,['incertae_sedis'],False,False,Salvia przewalskii,547902,species,ott3.3draft1,"['Salvia feddei', 'Salvia labellifera', 'Salvia mandarinorum', 'Salvia przewalskii alba', 'Salvia przewalskii albiflora', 'Salvia przewalskii glabrescens', 'Salvia przewalskii mandarinorum', 'Salvia przewalskii rubrobrunnea', 'Salvia tatsienensis', 'Salvia thibetica']","['ncbi:342060', 'gbif:7307728']",Salvia przewalskii
False,False,Salvia nubicola,ICN,1.0,salvia nubicola,['incertae_sedis'],False,False,Salvia nubicola,861978,species,ott3.3draft1,['Salvia glutinosa nubicola'],"['ncbi:268919', 'gbif:7877942']",Salvia nubicola
False,True,Salvia nubicola,ICN,1.0,salvia nubicola,['incertae_sedis'],False,False,Salvia glutinosa,1025161,species,ott3.3draft1,"['Drymosphace glutinosa', 'Glutinaria acuminata', 'Glutinaria glutinosa', 'Salvia nubicola', 'Sclarea glutinosa']","['ncbi:49211', 'gbif:2927026', 'irmng:10593805']",Salvia glutinosa
True,False,Scleria verticillata verticillata,ICN,0.9090909361839294,salvia verticillata verticillata,[],False,False,Scleria verticillata,3957445,species,ott3.3draft1,"['Hypoporum diffusum', 'Hypoporum diffusum publ', 'Hypoporum verticillatum', 'Scleria diffusa', 'Scleria kunthiana', 'Scleria tenella', 'Scleria tenuiflora', 'Scleria verticillata brevis', 'Scleria verticillata capillaris', 'Scleria verticillata verticillata']","['ncbi:1620189', 'gbif:2712490', 'irmng:10902925']",Scleria verticillata
