0
Haworthia cymbiformis cymbiformis
Ephedra distachya helvetica
Psychotria punctata punctata
Digitalis lanata trojana
Helleborus lividus corsicus
Ampelopsis glandulosa brevipedunculata
Vitis vinifera vinifera
Ribes uva-crispa sativum
Saxifraga paniculata cartilaginea
Iris pallida illyrica
Hosta sieboldiana sieboldiana
Brassica napus rapifera
Brassica oleracea gongylodes
Brassica oleracea capitata
Brassica oleracea gemmifera
Brassica oleracea sabellica
Brassica oleracea oleracea
Epimedium pinnatum colchicum
Solidago virgaurea minuta
Thalictrum minus saxatile
