idTaxon,matched_name,fuzzy_match_score
x Phaiocalanthe hybr.,ÃPhaiocalanthe,90
Zygophyllum fabago L.,Zygophyllum fabago,95
Zygopetalon mackaii Hook.,Zygopetalum mackaii,79
Zizania aquatica L.,Zizania aquatica,95
Zinnia peruviana (L.) L.,Zinnia peruviana,95
Zinnia haageana Regel,Zinnia haageana,95
Zingiber officinale Roscoe,Zingiber officinale,95
Zephyranthes minuta (Kunth) D. Dietr.,Zephyranthes minuta,90
Zephyranthes candida (Lindl.) Herb.,Zephyranthes candida,90
Zephyranthes andersoniana Benth. et Hook. f.,Zephyranthes andersonii,86
Zelkova abelicea (Lam.) Boiss.,Zelkova abelicea,90
Zea mexicana (Schrad.) Post et Kuntze subsp. mexicana,Zea mexicana,90
Zea mays convar. saccharata KÃ¶rn.,Zea mays,90
Zea mays convar. microsperma Koern.,Zea mays,90
Zea mays L. convar. mays 'Mergoscia',Zea mays,90
Zauschneria californica C. Presl,Zauschneria californica,95
Zanthoxylum simulans Hance,Zanthoxylum simulans,95
Zamioculcas zamiifolia (Lodd) Engl.,Zamioculcas zamiifolia,90
Yucca recurvifolia Salisb.,Yucca recurvifolia,95
Yucca filamentosa L.,Yucca filamentosa,95
Yucca brevifolia Engelm.,Yucca brevifolia,95
Xerosicyos danguyi Humbert,Xerosicyos danguyi,95
Xeranthemum inapertum (L.) Mill.,Xeranthemum annuum,86
Xeranthemum annuum L.,Xeranthemum annuum,95
Xanthosoma pubescens Poepp.,Xanthosoma pubescens,95
Xanthorhiza simplicissima Marshall,Xanthorhiza simplicissima,95
Xanthium strumarium L.,Xanthium strumarium,95
Xanthium spinosum L.,Xanthium spinosum,95
X Triticosecale Wittm.,x Triticosecale,95
X Sycoparrotia semidecidua P.K. Endress et Anliker,ÃSycoparrotia,90
X Passiflora 'Anastasia',Passiflora,90
X Astroworthia bicarinata (Haw.) G.D. Rowley,x Astroworthia,90
Wulfenia carinthiaca Jacq.,Wulfenia carinthiaca,95
"Wollemia nobilis W.G. Jones , K.D. Hill et J.M. Allen",Wollemia nobilis,90
Withania somnifera (L.) Dunal,Withania somnifera,90
Wisteria sinensis (Sims) Sweet,Wisteria sinensis,90
Wisteria floribunda DC. 'Macrobotrys',Wisteria floribunda,90
Weigela florida (Bunge) A. DC.,Weigela florida,90
Watsonia pillansii L. Bolus,Watsonia pillansii,90
Waldsteinia fragarioides Tratt.,Waldsteinia fragarioides,95
Vulpia myuros (L.) C.C. Gmel.,Vulpia myuros,90
Vriesea incurvata Gaudich.,Vriesea incurvata,95
Vriesea carinata Wawra,Vriesea carinata,95
Vitis vulpina L.,Vitis vulpina,95
Vitis vinifera L. subsp. vinifera 'Pinot noir',Vitis vinifera,90
Vitis vinifera L. subsp. vinifera,Vitis vinifera,90
Vitis labrusca L.,Vitis labrusca,95
Vitis Raisin blanc ?,Vitis labrusca,59
Vitis 'Muscat de la Birse',Vitis vinifera,86
Vitis 'Gros FramboisÃ©' ou 'Isabelle' ou 'Uva americana',Arctostaphylos uva-ursi,86
Vitex negundo L. s.l.,Vitex negundo,90
Vitex agnus-castus L.,Vitex agnus-castus,95
Viscum album L. subsp. album,Viscum album,90
Viola tricolor L.,Viola tricolor,95
Viola riviniana Rchb.,Viola riviniana,95
Viola reichenbachiana Boreau,Viola reichenbachiana,95
Viola pumila Chaix,Viola pumila,90
Viola pinnata L.,Viola pinnata,95
Viola persicifolia auct.,Viola persicifolia,95
Viola odorata L.,Viola odorata,95
Viola mirabilis L.,Viola mirabilis,95
Viola elatior Fr.,Viola elatior,95
Viola cornuta L.,Viola cornuta,95
Viola biflora L.,Viola biflora,95
Viola arborescens L.,Viola canina,86
Vincetoxicum hirundinaria Medik.,Vincetoxicum hirundinaria,95
Vinca minor L.,Vinca minor,95
Vinca major L.,Vinca major,95
Villamilla peruviana Hook. f.,Villamilla peruviana,95
Vigna unguiculata subsp. sesquipedalis (L.) Verdc.,Vigna unguiculata,90
Vigna radiata (L.) R. Wilczek var. radiata,Vigna radiata,90
Vigna angularis (Willd.) Ohwi et Ohashi var. angularis,Vigna angularis,90
Vicia villosa Roth subsp. villosa,Vicia villosa,90
Vicia sylvatica L.,Vicia sylvatica,95
Vicia sepium L.,Vicia sepium,95
Vicia sativa L. s.l.,Vicia sativa,90
Vicia pannonica Crantz,Vicia pannonica,95
Vicia orobus DC.,Vicia orobus,95
Vicia hirsuta (L.) Gray,Vicia hirsuta,90
Vicia faba L. var. faba,Vicia faba,90
Vicia ervilia (L.) Willd.,Vicia ervilia,90
Vicia cracca L. s.l.,Vicia cracca,90
