is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Abelmoschus moschatus,ICN,1.0,abelmoschus moschatus,[],False,False,Abelmoschus moschatus,1030301,species,ott3.3draft1,"['Hibiscus abelmoschus', 'Hibiscus cardiophyllus', 'Laguna abelmoschus']","['ncbi:1170222', 'gbif:8312665', 'irmng:10198179', 'irmng:11413786']",Abelmoschus moschatus
False,False,Acantholimon venustum,ICN,1.0,acantholimon venustum,[],False,False,Acantholimon venustum,6038733,species,ott3.3draft1,"['Acantholimon assyriacum', 'Acantholimon venustum assyriacum', 'Armeriastrum assyriacum', 'Armeriastrum dianthifolium', 'Statice dianthifolia', 'Statice oliverii', 'Statice venusta']","['ncbi:1851315', 'gbif:4089793']",Acantholimon venustum
False,False,Acis rosea,ICN,1.0,acis rosea,[],False,False,Acis rosea,813073,species,ott3.3draft1,['Leucojum roseum'],['ncbi:197681'],Acis rosea
False,True,Aconitum vulparia,ICN,1.0,aconitum vulparia,['infraspecific'],False,False,Aconitum lycoctonum subsp. vulparia,5511358,subspecies,ott3.3draft1,['Aconitum vulparia'],"['ncbi:516012', 'irmng:11034246']",Aconitum lycoctonum subsp. vulparia
False,False,Aframomum melegueta,ICN,1.0,aframomum melegueta,[],False,False,Aframomum melegueta,268114,species,ott3.3draft1,"['Aframomum grana-paradisi', 'Aframomum meleguetella', 'Alexis grandiflora publ', 'Alpinia grana-paradisi', 'Amomum melegueta', 'Amomum melegueta violacea', 'Cardamomum grana-paradisi', 'Cardamomum grandiflorum', 'Torymenes officinalis publ']","['ncbi:637930', 'gbif:2758930', 'irmng:11427943']",Aframomum melegueta
False,False,Allium carolinianum,ICN,1.0,allium carolinianum,[],False,False,Allium carolinianum,812430,species,ott3.3draft1,"['Allium aitchisonii', 'Allium obtusifolium', 'Allium platyspathum falcatum', 'Allium platystylum', 'Allium polyphyllum', 'Allium polyphyllum nudicaule', 'Allium thomsonii']","['ncbi:105480', 'gbif:8410853']",Allium carolinianum
False,False,Allium insubricum,ICN,1.0,allium insubricum,[],False,False,Allium insubricum,346332,species,ott3.3draft1,"['Allium narcissiflorum insubricum', 'Nectaroscordum insubricum']","['ncbi:105304', 'gbif:2855731']",Allium insubricum
False,False,Ampelopsis glandulosa,ICN,1.0,ampelopsis glandulosa,[],False,False,Ampelopsis glandulosa,769625,species,ott3.3draft1,[],['ncbi:345099'],Ampelopsis glandulosa
False,False,Anagallis tenella,ICN,1.0,anagallis tenella,[],False,False,Anagallis tenella,210344,species,ott3.3draft1,[],"['ncbi:85162', 'worms:426028', 'irmng:10195249']",Anagallis tenella
False,False,Androsace lactea,ICN,1.0,androsace lactea,[],False,False,Androsace lactea,829472,species,ott3.3draft1,['Primula lactea'],"['ncbi:184984', 'gbif:8001549']",Androsace lactea
False,True,Androsace lactea,ICN,1.0,androsace lactea,[],False,False,Androsace obtusifolia,820628,species,ott3.3draft1,"['Androsace affinis', 'Androsace aretioides', 'Androsace carnea obtusifolia', 'Androsace lactea', 'Androsace longiseta', 'Androsace pauciflora', 'Androsace pedemontana', 'Primula aretiodes', 'Primula kuntzeana', 'Primula obtusifolia', 'Primula reichenbachii']","['ncbi:229450', 'gbif:4005658']",Androsace obtusifolia
False,False,Arabis hirsuta,ICN,1.0,arabis hirsuta,[],False,False,Arabis hirsuta,550043,species,ott3.3draft1,"['Arabidopsis yadungensis', 'Arabis cenisia', 'Arabis conferta', 'Arabis contracta hirsuta', 'Arabis corymbiflora cenisia', 'Arabis hibernica', 'Arabis hirsuta accedens', 'Arabis hirsuta collisparsa', 'Arabis hirsuta gracilescens', 'Arabis hirsuta hirtella', 'Arabis hirsuta idanensis', 'Arabis hirsuta petricola', 'Arabis hirsuta propera', 'Arabis hirsuta propinqua', 'Arabis hirsuta sessilifolia', 'Arabis hispida', 'Arabis incana', 'Arabis nipponica', 'Arabis retziana', 'Arabis wahlenbergii', 'Turritis curtisiliqua', 'Turritis gerardiana', 'Turritis hirsuta']","['ncbi:78191', 'worms:425999', 'gbif:9202524', 'irmng:10204479']",Arabis hirsuta
False,True,Arabis hirsuta,ICN,1.0,arabis hirsuta,[],False,False,Arabis alpina,35933,species,ott3.3draft1,"['Arabis alpina corsica', 'Arabis alpina declinata', 'Arabis alpina lerchenfeldiana', 'Arabis alpina minor', 'Arabis alpina ruderalis', 'Arabis alpina verlotii', 'Arabis cuneifolia', 'Arabis declinata', 'Arabis grandiflora', 'Arabis hirsuta', 'Arabis incana', 'Arabis janitrix', 'Arabis leptocarpaea', 'Arabis lerchenfeldiana', 'Arabis merinoi', 'Arabis sicula', 'Stevenia incana']","['ncbi:50452', 'gbif:5375020', 'irmng:11068736']",Arabis alpina
False,True,Arenaria blepharophylla,ICN,1.0,arenaria blepharophylla,[],False,False,Eremogone blepharophylla,5728423,species,ott3.3draft1,"['Arenaria blepharophylla', 'Arenaria blepharophylla parviflora', 'Arenaria blepharophylla steveniana', 'Arenaria steveniana', 'Eremogone steveniana']",['gbif:3814997'],Eremogone blepharophylla
False,False,Armeria trojana,ICN,1.0,armeria trojana,[],False,False,Armeria trojana,6038803,species,ott3.3draft1,[],['gbif:5668069'],Armeria trojana
False,False,Aubrieta deltoidea,ICN,1.0,aubrieta deltoidea,[],False,False,Aubrieta deltoidea,19803,species,ott3.3draft1,"['Alyssum deltoideum', 'Aubrieta affinis', 'Aubrieta canescens', 'Aubrieta canescens canescens', 'Aubrieta canescens cilicica', 'Aubrieta canescens macrostyla', 'Aubrieta deltoidea canescens', 'Aubrieta deltoidea cithaeronea', 'Aubrieta deltoidea deltoidea', 'Aubrieta deltoidea graeca', 'Aubrieta deltoidea intermedia', 'Aubrieta deltoidea sporadum', 'Aubrieta graeca', 'Aubrieta hesperidiflora', 'Aubrieta integrifolia', 'Aubrieta intermedia', 'Draba hesperidifolia']","['ncbi:81984', 'gbif:3054117', 'irmng:11021949']",Aubrieta deltoidea
False,False,Betula humilis,ICN,1.0,betula humilis,[],False,False,Betula humilis,567478,species,ott3.3draft1,"['Betula extremiorientalis', 'Betula fruticans', 'Betula fruticosa extremiorientalis', 'Betula humilis calcarata', 'Betula humilis camtschatica', 'Betula humilis commutata', 'Betula humilis crispa', 'Betula humilis cuneata', 'Betula humilis elliptica', 'Betula humilis genuina', 'Betula humilis obovata', 'Betula humilis oycowiensis', 'Betula humilis socolowii', 'Betula humilis subcordata', 'Betula humilis vulgaris', 'Betula kamtschatica', 'Betula myrsinoides', 'Betula oycowiensis', 'Betula oycowiensis Rchb., 1850, non Besser, 1809', 'Betula palustris', 'Betula sibirica', 'Betula socolowii', 'Chamaebetula humilis']","['ncbi:216991', 'gbif:5331629', 'irmng:10690318']",Betula humilis
False,True,Betula humilis,ICN,1.0,betula humilis,[],False,False,Betula lenta,567472,species,ott3.3draft1,"['Betula carpinifolia', 'Betula excelsa', 'Betula humilis', 'Betula lenta genuina', 'Betula uber']","['ncbi:216994', 'gbif:5331709', 'irmng:10859215']",Betula lenta
False,False,Brimeura fastigiata,ICN,1.0,brimeura fastigiata,[],False,False,Brimeura fastigiata,3969648,species,ott3.3draft1,"['Brimeura pouzolzii', 'Charistemma fastigiata', 'Hyacinthus fastigiatus', 'Hyacinthus pouzolzii', 'Hyacinthus pouzolzii albiflorus', 'Hyacinthus pouzolzii bulbilifer', 'Scilla fastigiata']",['gbif:2767934'],Brimeura fastigiata
False,False,Brocchinia reducta,ICN,1.0,brocchinia reducta,[],False,False,Brocchinia reducta,573272,species,ott3.3draft1,[],"['ncbi:230702', 'gbif:5287602']",Brocchinia reducta
False,False,Campanula troegerae,ICN,1.0,campanula troegerae,['sibling_higher'],False,False,Campanula troegerae,1062695,species,ott3.3draft1,[],"['ncbi:1241207', 'gbif:5411062']",Campanula troegerae
