0
androsace mucronifolia
epiphyllum rubrocoronatum
ononisinosa
blechnumicant
jovibarba hirta
nephelium longana
saxifraga chrysosplenifolia
stemmacantha rhapontica
abelia x
allium x
arganiainosa
calanthe 'hizen'
canna x
capparisinosa
cereus winterianus
cistus x
cleomeinosa
coryphantha reduncuspins
costuseciosus
crocuseciosus
dahlia x
echinopsisachina
encyclia hybr.
eryngium bromeliifolium
frailea perumbilicata
gymnocactus quetilianum
irisuria
iris x
kickxiauria
liatrisicata
mentha x
mimosaeggazzinii
musa x
nepenthes 'rebecca
#nom?
ophryshegodes
pelargonium 'brillant'
pelargonium 'charity'
pelargonium 'chlorinda'
pelargonium 'cola'
pelargonium 'dimeierii
pelargonium 'godfrye's
pelargonium 'hazelnut'
pelargonium 'hurricane'
pelargonium 'lady
pelargonium 'lavender
pelargonium 'lemon
pelargonium 'rober's
pelargonium 'round
pelargonium 'sweet
pelargonium 'yellow
ptilotrichuminosa
rosa 'aim
rosa 'celina'
rosa 'dir.
rosa 'dorothy
rosa 'morlettii'
rosa 'pax'
rosa 'snow
rosa 'super
rosa 'veilchenblau'
rosa (penzance
rosa ?
rosa x
salix x
salvialendens
saxifraga probynii
telekiaeciosa
thelymitra 'melon
thelymitra 'yellow
thymus x
tilia x
tulipa -
tulipa eichleri
tuliparengeri
vitis 'gros
vitis 'muscat
vitis raisin
