Inventaire FRIBG,is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name,_merge,ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
abelmoschus moschatus,False,False,Abelmoschus moschatus,ICN,1.0,abelmoschus moschatus,[],False,False,Abelmoschus moschatus,1030301.0,species,ott3.3draft1,"['Hibiscus abelmoschus', 'Hibiscus cardiophyllus', 'Laguna abelmoschus']","['ncbi:1170222', 'gbif:8312665', 'irmng:10198179', 'irmng:11413786']",Abelmoschus moschatus,both,1030301,Archaeplastida,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,,Abelmoschus moschatus,5268475,916750,99252,229284,279960,590123,,[],species
acantholimon venustum,False,False,Acantholimon venustum,ICN,1.0,acantholimon venustum,[],False,False,Acantholimon venustum,6038733.0,species,ott3.3draft1,"['Acantholimon assyriacum', 'Acantholimon venustum assyriacum', 'Armeriastrum assyriacum', 'Armeriastrum dianthifolium', 'Statice dianthifolia', 'Statice oliverii', 'Statice venusta']","['ncbi:1851315', 'gbif:4089793']",Acantholimon venustum,both,6038733,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Acantholimon,,Acantholimon venustum,5268475,916750,99252,216628,532273,942001,,[],species
acis rosea,False,False,Acis rosea,ICN,1.0,acis rosea,[],False,False,Acis rosea,813073.0,species,ott3.3draft1,['Leucojum roseum'],['ncbi:197681'],Acis rosea,both,813073,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Acis,,Acis rosea,5268475,916750,99252,557124,17701,643422,,[],species
aconitum vulparia,False,True,Aconitum vulparia,ICN,1.0,aconitum vulparia,['infraspecific'],False,False,Aconitum lycoctonum subsp. vulparia,5511358.0,subspecies,ott3.3draft1,['Aconitum vulparia'],"['ncbi:516012', 'irmng:11034246']",Aconitum lycoctonum subsp. vulparia,both,5511358,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,Aconitum lycoctonum,Aconitum lycoctonum subsp. vulparia,5268475,916750,99252,872975,387826,756111,14055,['infraspecific'],subspecies
aframomum melegueta,False,False,Aframomum melegueta,ICN,1.0,aframomum melegueta,[],False,False,Aframomum melegueta,268114.0,species,ott3.3draft1,"['Aframomum grana-paradisi', 'Aframomum meleguetella', 'Alexis grandiflora publ', 'Alpinia grana-paradisi', 'Amomum melegueta', 'Amomum melegueta violacea', 'Cardamomum grana-paradisi', 'Cardamomum grandiflorum', 'Torymenes officinalis publ']","['ncbi:637930', 'gbif:2758930', 'irmng:11427943']",Aframomum melegueta,both,268114,Archaeplastida,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Aframomum,,Aframomum melegueta,5268475,916750,99252,627015,207467,334330,,[],species
allium carolinianum,False,False,Allium carolinianum,ICN,1.0,allium carolinianum,[],False,False,Allium carolinianum,812430.0,species,ott3.3draft1,"['Allium aitchisonii', 'Allium obtusifolium', 'Allium platyspathum falcatum', 'Allium platystylum', 'Allium polyphyllum', 'Allium polyphyllum nudicaule', 'Allium thomsonii']","['ncbi:105480', 'gbif:8410853']",Allium carolinianum,both,812430,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,,Allium carolinianum,5268475,916750,99252,557124,17701,781603,,[],species
allium insubricum,False,False,Allium insubricum,ICN,1.0,allium insubricum,[],False,False,Allium insubricum,346332.0,species,ott3.3draft1,"['Allium narcissiflorum insubricum', 'Nectaroscordum insubricum']","['ncbi:105304', 'gbif:2855731']",Allium insubricum,both,346332,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,,Allium insubricum,5268475,916750,99252,557124,17701,781603,,[],species
ampelopsis glandulosa,False,False,Ampelopsis glandulosa,ICN,1.0,ampelopsis glandulosa,[],False,False,Ampelopsis glandulosa,769625.0,species,ott3.3draft1,[],['ncbi:345099'],Ampelopsis glandulosa,both,769625,Archaeplastida,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Ampelopsis,,Ampelopsis glandulosa,5268475,916750,99252,1069308,329895,337874,,[],species
anagallis tenella,False,False,Anagallis tenella,ICN,1.0,anagallis tenella,[],False,False,Anagallis tenella,210344.0,species,ott3.3draft1,[],"['ncbi:85162', 'worms:426028', 'irmng:10195249']",Anagallis tenella,both,210344,Archaeplastida,Streptophyta,Magnoliopsida,Ericales,Primulaceae,Anagallis,,Anagallis tenella,5268475,916750,99252,648892,47346,486206,,[],species
androsace lactea,False,False,Androsace lactea,ICN,1.0,androsace lactea,[],False,False,Androsace lactea,829472.0,species,ott3.3draft1,['Primula lactea'],"['ncbi:184984', 'gbif:8001549']",Androsace lactea,both,829472,Archaeplastida,Streptophyta,Magnoliopsida,Ericales,Primulaceae,Androsace,,Androsace lactea,5268475,916750,99252,648892,47346,210342,,[],species
