ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
564,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Scleranthus,,Scleranthus annuus,5268475,916750,99252,216628,317818,333319,,[],species
672,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Briza,,Briza media,5268475,916750,99252,921871,508090,413239,,[],species
942,Archaeplastida,Streptophyta,,Araucariales,Podocarpaceae,Podocarpus,,Podocarpus nivalis,5268475,916750,,5435765,620760,620761,,[],species
1214,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,,Convolvulus lineatus,5268475,916750,99252,1050255,494850,1071034,,[],species
1613,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,,Salvia patens,5268475,916750,99252,23736,544714,374096,,['sibling_higher'],species
1828,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordelymus,,Hordelymus europaeus,5268475,916750,99252,921871,508090,1826,,['sibling_higher'],species
2125,Archaeplastida,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,,Lonicera japonica,5268475,916750,99252,659705,69534,649885,,[],species
2472,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,,Apium graveolens,5268475,916750,99252,372834,372831,2470,,[],species
2476,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Coriandrum,,Coriandrum sativum,5268475,916750,99252,372834,372831,2475,,[],species
2480,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,,Pastinaca sativa,5268475,916750,99252,372834,372831,2478,,[],species
2485,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Petroselinum,,Petroselinum crispum,5268475,916750,99252,372834,372831,2483,,[],species
2587,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Echinochloa,,Echinochloa crus-galli,5268475,916750,99252,921871,508090,911853,,[],species
3643,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Polystichum,,Polystichum braunii,5268475,916750,166292,93178,340301,293159,,[],species
3751,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Maxillaria,,Maxillaria tenuifolia,5268475,916750,99252,557124,568878,526986,,[],species
4047,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,,Solanum sisymbriifolium,5268475,916750,99252,1050255,473827,1020645,,['sibling_higher'],species
4173,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,,Carex bohemica,5268475,916750,99252,921871,105574,8151,,['sibling_higher'],species
4557,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Satyrium,,Satyrium ligulatum,5268475,916750,99252,557124,568878,577230,,[],species
4664,Archaeplastida,Streptophyta,Magnoliopsida,Zingiberales,Marantaceae,Maranta,,Maranta leuconeura,5268475,916750,99252,627015,627012,350122,,[],species
5072,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Pteridaceae,,,Pteris,5268475,916750,166292,93178,164361,,,[],genus
5966,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Bromeliaceae,Fosterella,,Fosterella penduliflora,5268475,916750,99252,921871,627035,206239,,[],species
6801,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hydrocotyle,,Hydrocotyle verticillata,5268475,916750,99252,372834,524079,2500,,[],species
7333,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Pseudognaphalium,,Pseudognaphalium luteoalbum,5268475,916750,99252,1042120,46248,19683,,[],species
7823,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Kernera,,Kernera saxatilis,5268475,916750,99252,8844,309271,7831,,[],species
7829,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Draba,,Draba rigida,5268475,916750,99252,8844,309271,745922,,[],species
7978,Archaeplastida,Streptophyta,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,,Kalanchoe daigremontiana,5268475,916750,99252,648890,509332,7992,,[],species
7992,Archaeplastida,Streptophyta,Magnoliopsida,Saxifragales,Crassulaceae,,,Kalanchoe,5268475,916750,99252,648890,509332,,,[],genus
8597,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Typhaceae,Sparganium,,Sparganium erectum,5268475,916750,99252,921871,225264,928468,,[],species
8848,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,Populus nigra,5268475,916750,99252,429482,530183,530178,,[],species
8870,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum,,Mesembryanthemum crystallinum,5268475,916750,99252,216628,367508,21015,,[],species
9477,Archaeplastida,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,,Actinidia polygama,5268475,916750,99252,648892,279976,279984,,[],species
9796,Archaeplastida,Streptophyta,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,,Aristolochia macrophylla,5268475,916750,99252,1022514,37785,9821,,[],species
9821,Archaeplastida,Streptophyta,Magnoliopsida,Piperales,Aristolochiaceae,,,Aristolochia,5268475,916750,99252,1022514,37785,,,[],genus
10224,Archaeplastida,Streptophyta,,Cupressales,Taxaceae,Cephalotaxus,,Cephalotaxus harringtonia,5268475,916750,,5435764,807158,1015532,,[],species
10618,Archaeplastida,Streptophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,,Selaginella helvetica,5268475,916750,144795,144821,144818,144816,,[],species
11338,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Ajuga,,Ajuga reptans,5268475,916750,99252,23736,544714,371267,,[],species
11800,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Crocus,,Crocus ancyrensis,5268475,916750,99252,557124,1087540,740507,,[],species
11802,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Crocus,,Crocus angustifolius,5268475,916750,99252,557124,1087540,740507,,[],species
12148,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Hyacinthaceae,Ornithogalum,,Ornithogalum gussonei,5268475,916750,99252,557124,47206,29643,,[],species
12152,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Hyacinthaceae,Ornithogalum,,Ornithogalum umbellatum,5268475,916750,99252,557124,47206,29643,,[],species
12524,Archaeplastida,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Nemophila,,Nemophila maculata,5268475,916750,99252,5261925,147029,476091,,[],species
12659,Archaeplastida,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,,Oenothera biennis,5268475,916750,99252,648898,1015483,277109,,[],species
12855,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Dianthus,,Dianthus pavonius,5268475,916750,99252,216628,317818,317820,,[],species
13139,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,,Cirsium palustre,5268475,916750,99252,1042120,46248,70338,,[],species
14057,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,,Aconitum anthora,5268475,916750,99252,872975,387826,756111,,[],species
14165,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Chaerophyllum,,Chaerophyllum aureum,5268475,916750,99252,372834,372831,90348,,[],species
14959,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,,Drosera binata,5268475,916750,99252,216628,14966,14968,,[],species
14963,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,,Drosera capensis,5268475,916750,99252,216628,14966,14968,,[],species
14968,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Droseraceae,,,Drosera,5268475,916750,99252,216628,14966,,,[],genus
14971,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Droseraceae,Dionaea,,Dionaea muscipula,5268475,916750,99252,216628,14966,14965,,[],species
15318,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Noccaea,,Noccaea oppositifolia,5268475,916750,99252,8844,309271,179314,,[],species
